,index,promptID,pairID,genre,sentence1_binary_parse,sentence2_binary_parse,sentence1_parse,sentence2_parse,sentence1,sentence2,label1,gold_label
205,203427,25988,25988e,government,"( ( Although ( ( ( counting ( ( ( ( education and ) R ) and ) D ) ) ( as investment ) ) ( would ( raise ( ( the ( measured level ) ) ( of investment ) ) ) ) ) ) ( , ( ( ( this ( broader measure ) ) ( of investment ) ) ( ( ( has also ) ( experienced ( a ( downward trend ) ) ) ) . ) ) ) )",( ( ( The ( broad measure ) ) ( of investment ) ) ( ( has ( has ( been ( showing ( a ( positive trend ) ) ) ) ) ) . ) ),"(ROOT (S (SBAR (IN Although) (S (S (VP (VBG counting) (NP (NP (NN education) (CC and) (NN R)) (CC and) (NP (NNP D))) (PP (IN as) (NP (NN investment))))) (VP (MD would) (VP (VB raise) (NP (NP (DT the) (JJ measured) (NN level)) (PP (IN of) (NP (NN investment)))))))) (, ,) (NP (NP (DT this) (JJR broader) (NN measure)) (PP (IN of) (NP (NN investment)))) (VP (VBZ has) (ADVP (RB also)) (VP (VBN experienced) (NP (DT a) (JJ downward) (NN trend)))) (. .)))",(ROOT (S (NP (NP (DT The) (JJ broad) (NN measure)) (PP (IN of) (NP (NN investment)))) (VP (VBZ has) (VP (VBZ has) (VP (VBN been) (VP (VBG showing) (NP (DT a) (JJ positive) (NN trend)))))) (. .))),"Although counting education and R and D as investment would raise the measured level of investment, this broader measure of investment has also experienced a downward trend.",The broad measure of investment has has been showing a positive trend.,entailment,entailment
52,75306,106053,106053n,fiction,"( ( ( ( ( That ( last ( ( 's only ) ( ( ( a guess ) , ) ( of course ) ) ) ) ) , ) but ) ( I ( 've ( ( a sort ) ( of ( feeling ( it ( 'll ( ( turn out ) right ) ) ) ) ) ) ) ) ) . )",( It ( definitely ( ( ( does n't ) ( look ( like ( it ( 'll ( be alright ) ) ) ) ) ) . ) ) ),"(ROOT (S (S (NP (DT That)) (ADVP (RB last)) (VP (VBZ 's) (ADVP (RB only)) (NP (NP (DT a) (NN guess)) (, ,) (PP (IN of) (NP (NN course)))))) (, ,) (CC but) (S (NP (PRP I)) (VP (VBP 've) (NP (NP (DT a) (NN sort)) (PP (IN of) (S (VP (VBG feeling) (SBAR (S (NP (PRP it)) (VP (MD 'll) (VP (VB turn) (PRT (RP out)) (NP (NN right)))))))))))) (. .)))",(ROOT (S (NP (PRP It)) (ADVP (RB definitely)) (VP (VBZ does) (RB n't) (VP (VB look) (SBAR (IN like) (S (NP (PRP it)) (VP (MD 'll) (VP (VB be) (ADJP (JJ alright)))))))) (. .))),"That last's only a guess, of course, but I've a sort of feeling it'll turn out right.",It definitely doesn't look like it'll be alright.,neutral,neutral
31,98929,30397,30397e,slate,"( ( In ( ( Snip 's ) offer ) ) ( , ( ( ( 10 percent ) ( of ( ( ( ( $ 5 ) million ) ( -LRB- ( ( $ 500,000 ) -RRB- ) ) ) ( plus ( ( 89 percent ) ( of ( ( ( $ 1 ) million ) ( -LRB- ( ( $ 890,000 ) -RRB- ) ) ) ) ) ) ) ) ) ( ( equals ( $ 1 ) ) . ) ) ) )",( Snip ( ( ( is obviously ) ( very ( bad ( at ( even ( basic math ) ) ) ) ) ) . ) ),"(ROOT (S (PP (IN In) (NP (NP (NNP Snip) (POS 's)) (NN offer))) (, ,) (NP (NP (CD 10) (NN percent)) (PP (IN of) (NP (NP (QP ($ $) (CD 5) (CD million))) (PRN (-LRB- -LRB-) (NP ($ $) (CD 500,000)) (-RRB- -RRB-)) (PP (CC plus) (NP (NP (CD 89) (NN percent)) (PP (IN of) (NP (NP (QP ($ $) (CD 1) (CD million))) (PRN (-LRB- -LRB-) (NP ($ $) (CD 890,000)) (-RRB- -RRB-))))))))) (VP (VBZ equals) (NP ($ $) (CD 1))) (. .)))",(ROOT (S (NP (NNP Snip)) (VP (VBZ is) (ADVP (RB obviously)) (ADJP (RB very) (JJ bad) (PP (IN at) (NP (RB even) (JJ basic) (NN math))))) (. .))),"In Snip's offer, 10 percent of $5 million ($500,000) plus 89 percent of $1 million ($890,000) equals $1.",Snip is obviously very bad at even basic math.,entailment,entailment
254,159427,68007,68007e,travel,"( So ( it ( ( ( ( is not ) surprising ) ( that ( ( when ( ( bubonic plague ) ( struck ( in 1894 ) ) ) ) ( , ( it ( ( took ( ( nearly 30 ) years ) ) ( to ( fully ( eradicate it ) ) ) ) ) ) ) ) ) . ) ) )","( ( Due ( to ( ( low amounts ) ( of ( people ( skilled ( with medicines ) ) ) ) ) ) ) ( , ( ( the ( bubonic plague ) ) ( ( ( took decades ) ( to cure ) ) . ) ) ) )","(ROOT (S (IN So) (NP (PRP it)) (VP (VBZ is) (RB not) (ADJP (JJ surprising)) (SBAR (IN that) (S (SBAR (WHADVP (WRB when)) (S (NP (JJ bubonic) (NNS plague)) (VP (VBD struck) (PP (IN in) (NP (CD 1894)))))) (, ,) (NP (PRP it)) (VP (VBD took) (NP (QP (RB nearly) (CD 30)) (NNS years)) (S (VP (TO to) (VP (ADVP (RB fully)) (VB eradicate) (NP (PRP it))))))))) (. .)))","(ROOT (S (PP (JJ Due) (TO to) (NP (NP (JJ low) (NNS amounts)) (PP (IN of) (NP (NP (NNS people)) (ADJP (JJ skilled) (PP (IN with) (NP (NNS medicines)))))))) (, ,) (NP (DT the) (JJ bubonic) (NN plague)) (VP (VBD took) (NP (NNS decades)) (S (VP (TO to) (VP (VB cure))))) (. .)))","So it is not surprising that when bubonic plague struck in 1894, it took nearly 30 years to fully eradicate it.","Due to low amounts of people skilled with medicines, the bubonic plague took decades to cure.",entailment,entailment
313,120166,38876,38876e,government,"( Therefore ( , ( ( this report ) ( ( ( ( summarizes ( the ( collective discussion ) ) ) and ) ( ( ( does not ) necessarily ) ( represent ( ( the views ) ( of ( ( ( any ( individual participant ) ) or ) GAO ) ) ) ) ) ) . ) ) ) )",( GAO ( ( does ( ( endorse ( the report ) ) ( as ( representative ( of ( their views ) ) ) ) ) ) . ) ),"(ROOT (S (ADVP (RB Therefore)) (, ,) (NP (DT this) (NN report)) (VP (VP (VBZ summarizes) (NP (DT the) (JJ collective) (NN discussion))) (CC and) (VP (VBZ does) (RB not) (ADVP (RB necessarily)) (VP (VB represent) (NP (NP (DT the) (NNS views)) (PP (IN of) (NP (NP (DT any) (JJ individual) (NN participant)) (CC or) (NP (NNP GAO)))))))) (. .)))",(ROOT (S (NP (NNP GAO)) (VP (VBZ does) (VP (VB endorse) (NP (DT the) (NN report)) (PP (IN as) (NP (NP (NN representative)) (PP (IN of) (NP (PRP$ their) (NNS views))))))) (. .))),"Therefore, this report summarizes the collective discussion and does not necessarily represent the views of any individual participant or GAO.",GAO does endorse the report as representative of their views.,entailment,entailment
349,3203,108932,108932n,slate,( Pundits ( now ( ( think ( ( the ( Justice ( Department ( or ( Independent ( Counsel ( Kenneth Starr ) ) ) ) ) ) ) ( will ( look ( into ( the matter ) ) ) ) ) ) . ) ) ),( ( Some people ) ( ( believe ( that ( ( the ( Justice ( Department ( or ( Independent ( Counsel ( Kenneth Starr ) ) ) ) ) ) ) ( will investigate ) ) ) ) . ) ),(ROOT (S (NP (NNS Pundits)) (ADVP (RB now)) (VP (VBP think) (SBAR (S (NP (DT the) (NNP Justice) (NNP Department) (CC or) (NNP Independent) (NNP Counsel) (NNP Kenneth) (NNP Starr)) (VP (MD will) (VP (VB look) (PP (IN into) (NP (DT the) (NN matter)))))))) (. .))),(ROOT (S (NP (DT Some) (NNS people)) (VP (VBP believe) (SBAR (IN that) (S (NP (DT the) (NNP Justice) (NNP Department) (CC or) (NNP Independent) (NNP Counsel) (NNP Kenneth) (NNP Starr)) (VP (MD will) (VP (VB investigate)))))) (. .))),Pundits now think the Justice Department or Independent Counsel Kenneth Starr will look into the matter.,Some people believe that the Justice Department or Independent Counsel Kenneth Starr will investigate. ,neutral,neutral
12,174552,85049,85049c,travel,( ( Cups ( of ( ( tea or ) coffee ) ) ) ( ( ( are traditionally ) ( offered ( to ( oil ( ( ( the wheels ) ( of ( ( the deal ) ( ( ( although ( today ( you ( may ( be ( ( offered ( the ( ubiquitous coke ) ) ) instead ) ) ) ) ) ) and ) ( if ( you ( are ( serious ( about buying ) ) ) ) ) ) ) ) ) ( ( do n't ) ( ( turn ( this down ) ) ( as ( it ( 's ( ( a ( symbolic stepping-stone ) ) ( ( ( marking you ) apart ) ( from ( the ( mere browser ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) . ) ),( ( ( Tea and ) coffee ) ( ( ( are often ) ( offered ( when ( making deals ) ) ) ) . ) ),(ROOT (S (NP (NP (NNS Cups)) (PP (IN of) (NP (NN tea) (CC or) (NN coffee)))) (VP (VBP are) (ADVP (RB traditionally)) (VP (VBN offered) (PP (TO to) (NP (NP (NN oil)) (SBAR (S (NP (NP (DT the) (NNS wheels)) (PP (IN of) (NP (NP (DT the) (NN deal)) (SBAR (SBAR (IN although) (S (NP (NN today)) (NP (PRP you)) (VP (MD may) (VP (VB be) (VP (VBN offered) (NP (DT the) (JJ ubiquitous) (NN coke)) (ADVP (RB instead))))))) (CC and) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP are) (ADJP (JJ serious) (PP (IN about) (S (VP (VBG buying)))))))))))) (VP (VBP do) (RB n't) (VP (VB turn) (ADVP (DT this) (RB down)) (SBAR (IN as) (S (NP (PRP it)) (VP (VBZ 's) (NP (NP (DT a) (JJ symbolic) (NN stepping-stone)) (VP (VBG marking) (NP (PRP you)) (ADVP (RB apart)) (PP (IN from) (NP (DT the) (JJ mere) (NN browser)))))))))))))))) (. .))),(ROOT (S (NP (NP (NNP Tea)) (CC and) (NP (NN coffee))) (VP (VBP are) (ADVP (RB often)) (VP (VBN offered) (SBAR (WHADVP (WRB when)) (S (VP (VBG making) (NP (NNS deals))))))) (. .))),Cups of tea or coffee are traditionally offered to oil the wheels of the deal although today you may be offered the ubiquitous coke instead and if you are serious about buying don't turn this down as it's a symbolic stepping-stone marking you apart from the mere browser.,Tea and coffee are often offered when making deals.,contradiction,contradiction
282,254652,129426,129426n,government,( ( 18 ( ( ( CBO 's ) ( budget projections ) ) ( are ( intended ( to ( ( provide ( estimates ( of ( federal ( ( spending and ) revenue ) ) ) ) ) ( assuming ( ( current law ) ( related ( to ( taxation ( and ( entitlement programs ) ) ) ) ) ) ) ) ) ) ) ) ) ( ( is unchanged ) . ) ),"( ( 18 ( ( ( CBO 's ) ( budget projections ) ) ( are ( supposed ( to ( ( ( provide ( estimates ( of ( federal ( ( spending and ) revenue ) ) ) ) ) , ) ( assuming ( ( current law ) ( related ( to ( taxation ( and ( entitlement programs ) ) ) ) ) ) ) ) ) ) ) ) ) ( ( ( does n't ) change ) . ) )",(ROOT (S (NP (NP (CD 18)) (SBAR (S (NP (NP (NNP CBO) (POS 's)) (NN budget) (NNS projections)) (VP (VBP are) (VP (VBN intended) (S (VP (TO to) (VP (VB provide) (NP (NP (NNS estimates)) (PP (IN of) (NP (JJ federal) (NN spending) (CC and) (NN revenue)))) (S (VP (VBG assuming) (NP (NP (JJ current) (NN law)) (VP (VBN related) (PP (TO to) (NP (NN taxation) (CC and) (NN entitlement) (NNS programs))))))))))))))) (VP (VBZ is) (ADJP (JJ unchanged))) (. .))),"(ROOT (S (NP (NP (CD 18)) (SBAR (S (NP (NP (NNP CBO) (POS 's)) (NN budget) (NNS projections)) (VP (VBP are) (VP (VBN supposed) (S (VP (TO to) (VP (VB provide) (NP (NP (NNS estimates)) (PP (IN of) (NP (JJ federal) (NN spending) (CC and) (NN revenue)))) (, ,) (S (VP (VBG assuming) (NP (NP (JJ current) (NN law)) (VP (VBN related) (PP (TO to) (NP (NN taxation) (CC and) (NN entitlement) (NNS programs))))))))))))))) (VP (VBZ does) (RB n't) (VP (VB change))) (. .)))",18 CBO's budget projections are intended to provide estimates of federal spending and revenue assuming current law related to taxation and entitlement programs is unchanged.,"18 CBO's budget projections are supposed to provide estimates of federal spending and revenue, assuming current law related to taxation and entitlement programs doesn't change.",neutral,neutral
45,103235,45840,45840e,government,"( ( Activity analysis ) ( ( is ( ( accomplished ( with ( interviews ( , ( questionnaires ( , ( observation ( , ( and review ) ) ) ) ) ) ) ) ) ( of ( ( physical records ) ( of work ) ) ) ) ) . ) )",( Questionares ( ( ( are only ) ( method ( used ( in ( activity analysis ) ) ) ) ) . ) ),"(ROOT (S (NP (NN Activity) (NN analysis)) (VP (VBZ is) (VP (VBN accomplished) (PP (IN with) (NP (NNS interviews) (, ,) (NNS questionnaires) (, ,) (NNS observation) (, ,) (CC and) (NN review))) (PP (IN of) (NP (NP (JJ physical) (NNS records)) (PP (IN of) (NP (NN work))))))) (. .)))",(ROOT (S (NP (NNS Questionares)) (VP (VBP are) (ADVP (RB only)) (NP (NP (NN method)) (VP (VBN used) (PP (IN in) (NP (NN activity) (NN analysis)))))) (. .))),"Activity analysis is accomplished with interviews, questionnaires, observation, and review of physical records of work.",Questionares are only method used in activity analysis.,entailment,entailment
107,119015,6445,6445e,telephone,( yeah ( ( ( i ( 'm ( in ( a ( book club ) ) ) ) ) and ) ( i ( think ( i ( 've ( seen ( his books ) ) ) ) ) ) ) ),( I ( ( ( belong ( to ( a ( book club ) ) ) ) ( at ( my university ) ) ) . ) ),(ROOT (S (VP (VB yeah) (S (S (NP (FW i)) (VP (VBP 'm) (PP (IN in) (NP (DT a) (NN book) (NN club))))) (CC and) (S (NP (FW i)) (VP (VBP think) (SBAR (S (NP (FW i)) (VP (VBP 've) (VP (VBN seen) (NP (PRP$ his) (NNS books)))))))))))),(ROOT (S (NP (PRP I)) (VP (VBP belong) (PP (TO to) (NP (DT a) (NN book) (NN club))) (PP (IN at) (NP (PRP$ my) (NN university)))) (. .))),yeah i'm in a book club and i think i've seen his books,I belong to a book club at my university.,entailment,entailment
