,Unnamed: 0,index,promptID,pairID,genre,sentence1_binary_parse,sentence2_binary_parse,sentence1_parse,sentence2_parse,sentence1,sentence2,label1,gold_label
443,443,669,36706,36706c,telephone,( ( yeah ( uh-huh yeah ) ) ( we ( ( ( 're not ) ( ( too far ) ( behind i ) ) ) ( ( graduated ( in ( seventy one ) ) ) ( so ( i ( 'm ( i ( 'm ( ( same generation ) ( ( ( i i ) ( 'm ( it ( 's ( going ( to ( ( be ( a ( short conversation ) ) ) ( because ( i ( ( agree ( with you ) ) ( ( i i ) ( think ( uh ( i ( ( do n't ) i ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ( ( ( do n't ) even ) ( think ( it ( ought ( to ( be ( uh ( voluntary ( i ( think ( it ( ought ( to ( be mandatory ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ),( I ( ( ( graduated ( in ninety-one ) ) ( so ( we ( ( grew up ) ( in ( different generations ) ) ) ) ) ) . ) ),(ROOT (S (VP (VB yeah) (NP (JJ uh-huh) (NN yeah)) (SBAR (S (NP (PRP we)) (VP (VBP 're) (RB not) (ADVP (ADVP (RB too) (RB far)) (PP (IN behind) (NP (FW i)))) (VP (VBN graduated) (PP (IN in) (NP (JJ seventy) (CD one))) (SBAR (IN so) (S (NP (FW i)) (VP (VBP 'm) (NP (NP (FW i)) (SBAR (S (VP (VBP 'm) (NP (NP (JJ same) (NN generation)) (SBAR (S (NP (NP (FW i) (FW i)) (SBAR (S (VP (VBP 'm) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (VP (VBG going) (S (VP (TO to) (VP (VB be) (NP (DT a) (JJ short) (NN conversation)) (SBAR (IN because) (S (NP (FW i)) (VP (VBP agree) (PP (IN with) (NP (PRP you))) (NP (NP (FW i) (FW i)) (SBAR (S (VP (VBP think) (SBAR (S (INTJ (UH uh)) (NP (FW i)) (VP (VBP do) (RB n't) (VP (VB i))))))))))))))))))))))) (VP (VBP do) (RB n't) (ADVP (RB even)) (VP (VB think) (SBAR (S (NP (PRP it)) (VP (MD ought) (S (VP (TO to) (VP (VB be) (ADJP (RB uh) (JJ voluntary) (SBAR (S (NP (FW i)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (MD ought) (S (VP (TO to) (VP (VB be) (ADJP (JJ mandatory))))))))))))))))))))))))))))))))))))),(ROOT (S (NP (PRP I)) (VP (VBD graduated) (PP (IN in) (NP (NN ninety-one))) (SBAR (IN so) (S (NP (PRP we)) (VP (VBD grew) (PRT (RP up)) (PP (IN in) (NP (JJ different) (NNS generations))))))) (. .))),yeah uh-huh yeah we're not too far behind i graduated in seventy one so i'm i'm same generation i i'm it's going to be a short conversation because i agree with you i i think uh i don't i don't even think it ought to be uh voluntary i think it ought to be mandatory,I graduated in ninety-one so we grew up in different generations. ,contradiction,contradiction
266,266,393,64957,64957n,travel,"( It ( ( ( 's now ) ( ( ( a school ) , ) ( the ( Colegio ( de ( Santo Domingo ) ) ) ) ) ) . ) )",( It ( ( was ( established ( in 1854 ) ) ) . ) ),"(ROOT (S (NP (PRP It)) (VP (VBZ 's) (ADVP (RB now)) (NP (NP (DT a) (NN school)) (, ,) (NP (DT the) (NNP Colegio) (NNP de) (NNP Santo) (NNP Domingo)))) (. .)))",(ROOT (S (NP (PRP It)) (VP (VBD was) (VP (VBN established) (PP (IN in) (NP (CD 1854))))) (. .))),"It's now a school, the Colegio de Santo Domingo.",It was established in 1854.,neutral,neutral
57,57,87,44155,44155e,slate,( Clark ( also ( ( ( expressed ( the hope ) ) ( that ( ( ( he and ) Redgrave ) ( could ( continue ( with ( their marriage ) ) ) ) ) ) ) . ) ) ),( Clark ( ( hoped ( that ( he ( could ( continue ( their marriage ) ) ) ) ) ) . ) ),(ROOT (S (NP (NNP Clark)) (ADVP (RB also)) (VP (VBD expressed) (NP (DT the) (NN hope)) (SBAR (IN that) (S (NP (PRP he) (CC and) (NNP Redgrave)) (VP (MD could) (VP (VB continue) (PP (IN with) (NP (PRP$ their) (NN marriage)))))))) (. .))),(ROOT (S (NP (NNP Clark)) (VP (VBD hoped) (SBAR (IN that) (S (NP (PRP he)) (VP (MD could) (VP (VB continue) (NP (PRP$ their) (NN marriage))))))) (. .))),Clark also expressed the hope that he and Redgrave could continue with their marriage.,Clark hoped that he could continue their marriage.,entailment,entailment
87,87,124,29069,29069e,fiction,( ( Said I ) ( ( was ( foolishly proud ) ) . ) ),( ( My pride ) ( ( was ( ( foolish ( not well ) ) placed ) ) . ) ),(ROOT (S (NP (NNP Said) (NNP I)) (VP (VBD was) (ADJP (RB foolishly) (JJ proud))) (. .))),(ROOT (S (NP (PRP$ My) (NN pride)) (VP (VBD was) (ADJP (ADJP (JJ foolish)) (CONJP (RB not) (RB well)) (ADJP (VBN placed)))) (. .))),Said I was foolishly proud. ,My pride was foolish not well placed.,entailment,entailment
308,308,459,12482,12482e,travel,"( ( ( ( ( ( ( ( ( ( A company ) ( of handweavers ) ) ( has ( been ( ( working here ) ( since ( ( at least ) 1723 ) ) ) ) ) ) , ) and ) ( visitors ( are ( able ( to ( ( watch them ) ( at work ) ) ) ) ) ) ) , ) but ) ( ( their products ) ( have ( ( become ( less distinctive ) ) ( since ( they ( expanded ( into ( a ( popular ( tourist attraction ) ) ) ) ) ) ) ) ) ) ) . )","( ( ( ( ( Tourists ( can ( view ( ( the company ) ( of ( handweavers work ) ) ) ) ) ) , ) but ) ( ( the ( historic company ) ) ( have ( ( ( less distinctive ) products ) ( now ( due ( to ( becoming ( a ( popular attraction ) ) ) ) ) ) ) ) ) ) . )","(ROOT (S (S (S (NP (NP (DT A) (NN company)) (PP (IN of) (NP (NNS handweavers)))) (VP (VBZ has) (VP (VBN been) (VP (VBG working) (ADVP (RB here)) (PP (IN since) (NP (QP (IN at) (JJS least) (CD 1723)))))))) (, ,) (CC and) (S (NP (NNS visitors)) (VP (VBP are) (ADJP (JJ able) (S (VP (TO to) (VP (VB watch) (NP (PRP them)) (PP (IN at) (NP (NN work)))))))))) (, ,) (CC but) (S (NP (PRP$ their) (NNS products)) (VP (VBP have) (VP (VBN become) (S (ADJP (RBR less) (JJ distinctive))) (SBAR (IN since) (S (NP (PRP they)) (VP (VBD expanded) (PP (IN into) (NP (DT a) (JJ popular) (NN tourist) (NN attraction))))))))) (. .)))","(ROOT (S (S (NP (NNS Tourists)) (VP (MD can) (VP (VB view) (NP (NP (DT the) (NN company)) (PP (IN of) (NP (JJ handweavers) (NN work))))))) (, ,) (CC but) (S (NP (DT the) (JJ historic) (NN company)) (VP (VBP have) (VP (NP (ADJP (RBR less) (JJ distinctive)) (NNS products)) (ADJP (RB now) (JJ due) (PP (TO to) (S (VP (VBG becoming) (NP (DT a) (JJ popular) (NN attraction))))))))) (. .)))","A company of handweavers has been working here since at least 1723, and visitors are able to watch them at work, but their products have become less distinctive since they expanded into a popular tourist attraction.","Tourists can view the company of handweavers work, but the historic company have less distinctive products now due to becoming a popular attraction.",entailment,entailment
131,131,191,111384,111384e,fiction,( I ( ( ( tipped it ) ( upside down ) ) . ) ),( I ( ( ( turned it ) over ) . ) ),(ROOT (S (NP (PRP I)) (VP (VBD tipped) (NP (PRP it)) (ADVP (RB upside) (RB down))) (. .))),(ROOT (S (NP (PRP I)) (VP (VBD turned) (NP (PRP it)) (PRT (RP over))) (. .))),I tipped it upside down.,I turned it over.,entailment,entailment
29,29,40,69555,69555e,travel,"( And ( ( to ( show ( ( just ( how fast ) ) ( ( ( Japan 's ) ( new rulers ) ) ( were ( catching on ) ) ) ) ) ) ( , ( ( two ( punitive expeditions ) ) ( ( were ( ( launched ( against ( ( Korea and ) China ) ) ) ( in ( ( the ( grand manner ) ) ( of ( 19th-century ( gunboat diplomacy ) ) ) ) ) ) ) . ) ) ) ) )",( ( ( Japan 's ) ( new rulers ) ) ( ( were ( ( catching on ) quickly ) ) . ) ),"(ROOT (S (CC And) (S (VP (TO to) (VP (VB show) (SBAR (WHADJP (RB just) (WRB how) (JJ fast)) (S (NP (NP (NNP Japan) (POS 's)) (JJ new) (NNS rulers)) (VP (VBD were) (VP (VBG catching) (PRT (RP on))))))))) (, ,) (NP (CD two) (JJ punitive) (NNS expeditions)) (VP (VBD were) (VP (VBN launched) (PP (IN against) (NP (NNP Korea) (CC and) (NNP China))) (PP (IN in) (NP (NP (DT the) (JJ grand) (NN manner)) (PP (IN of) (NP (JJ 19th-century) (NN gunboat) (NN diplomacy))))))) (. .)))",(ROOT (S (NP (NP (NNP Japan) (POS 's)) (JJ new) (NNS rulers)) (VP (VBD were) (VP (VBG catching) (PRT (RP on)) (ADVP (RB quickly)))) (. .))),"And to show just how fast Japan's new rulers were catching on, two punitive expeditions were launched against Korea and China in the grand manner of 19th-century gunboat diplomacy.",Japan's new rulers were catching on quickly.,entailment,entailment
348,348,512,92504,92504e,telephone,( if ( ( a person ) ( has ( ( done ( ( a crime ) ( so bad ) ) ) ( that ( ( the jury ) ( ( ( gives them ) ( the ( death penalty ) ) ) ( now ( ( the ( Supreme Court ) ) ( says ( we ( 've ( got ( to ( ( give ( ( them ( ( one appeal ) okay ) ) ( i ( agree ( ( give them ) ( ( one appeal ) ( when ( ( that appeal ) ( fails ( within ( thirty days ) ) ) ) ) ) ) ) ) ) ) ( execution ( of sentence ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ),( You ( ( are ( allowed ( to ( appeal ( the ( death sentence ) ) ) ) ) ) . ) ),(ROOT (SBAR (IN if) (S (NP (DT a) (NN person)) (VP (VBZ has) (VP (VBN done) (S (NP (DT a) (NN crime)) (ADJP (RB so) (JJ bad))) (SBAR (IN that) (S (NP (DT the) (NN jury)) (VP (VBZ gives) (NP (PRP them)) (NP (DT the) (NN death) (NN penalty)) (SBAR (RB now) (S (NP (DT the) (NNP Supreme) (NNP Court)) (VP (VBZ says) (SBAR (S (NP (PRP we)) (VP (VBP 've) (VP (VBN got) (S (VP (TO to) (VP (VB give) (NP (NP (PRP them)) (ADJP (NP (CD one) (NN appeal)) (JJ okay)) (SBAR (S (NP (FW i)) (VP (VBP agree) (VP (VB give) (NP (PRP them)) (NP (NP (CD one) (NN appeal)) (SBAR (WHADVP (WRB when)) (S (NP (DT that) (NN appeal)) (VP (VBZ fails) (PP (IN within) (NP (CD thirty) (NNS days)))))))))))) (NP (NP (NN execution)) (PP (IN of) (NP (NN sentence)))))))))))))))))))))),(ROOT (S (NP (PRP You)) (VP (VBP are) (VP (VBN allowed) (S (VP (TO to) (VP (VB appeal) (NP (DT the) (NN death) (NN sentence))))))) (. .))),if a person has done a crime so bad that the jury gives them the death penalty now the Supreme Court says we've got to give them one appeal okay i agree give them one appeal when that appeal fails within thirty days execution of sentence,You are allowed to appeal the death sentence. ,entailment,entailment
84,84,120,35988,35988c,slate,( ( The ( herbal extract ) ) ( ( ( shows success ) ( in ( ( ( treating ( mild dementia ) ) and ) ( preventing ( ( Alzheimer 's ) ( memory loss ) ) ) ) ) ) . ) ),( ( The ( herbal extract ) ) ( ( ( is not ) ( very ( good ( at ( treating dementia ) ) ) ) ) . ) ),(ROOT (S (NP (DT The) (JJ herbal) (NN extract)) (VP (VBZ shows) (NP (NN success)) (PP (IN in) (S (VP (VP (VBG treating) (NP (JJ mild) (NN dementia))) (CC and) (VP (VBG preventing) (NP (NP (NNP Alzheimer) (POS 's)) (NN memory) (NN loss))))))) (. .))),(ROOT (S (NP (DT The) (JJ herbal) (NN extract)) (VP (VBZ is) (RB not) (ADJP (RB very) (JJ good) (PP (IN at) (S (VP (VBG treating) (NP (NN dementia))))))) (. .))),The herbal extract shows success in treating mild dementia and preventing Alzheimer's memory loss.,The herbal extract is not very good at treating dementia.  ,contradiction,contradiction
91,91,131,124483,124483e,slate,( It ( ( 's ( ( ( ( a commitment ) ( to ( general education ) ) ) ( -- ( ( ( ( a sequence ) ( of courses ) ) ( intended ( to ( ( develop ( critical thinking ) ) ( in ( ( a ( wide variety ) ) ( of disciplines ) ) ) ) ) ) ) -- ) ) ) ( in ( opposition ( to ( early specialization ) ) ) ) ) ) . ) ),( ( ( General ( education 's ) ) focus ) ( ( is ( to ( develop ( ( students ' ) ( critical ( thinking skills ) ) ) ) ) ) . ) ),(ROOT (S (NP (PRP It)) (VP (VBZ 's) (NP (NP (DT a) (NN commitment)) (PP (TO to) (NP (JJ general) (NN education))) (PRN (: --) (NP (NP (DT a) (NN sequence)) (PP (IN of) (NP (NNS courses))) (VP (VBN intended) (S (VP (TO to) (VP (VB develop) (NP (JJ critical) (NN thinking)) (PP (IN in) (NP (NP (DT a) (JJ wide) (NN variety)) (PP (IN of) (NP (NNS disciplines)))))))))) (: --)) (PP (IN in) (NP (NP (NN opposition)) (PP (TO to) (NP (JJ early) (NN specialization))))))) (. .))),(ROOT (S (NP (NP (JJ General) (NN education) (POS 's)) (NN focus)) (VP (VBZ is) (S (VP (TO to) (VP (VB develop) (NP (NP (NNS students) (POS ')) (JJ critical) (NN thinking) (NNS skills)))))) (. .))),It's a commitment to general education--a sequence of courses intended to develop critical thinking in a wide variety of disciplines--in opposition to early specialization.,General education's focus is to develop students' critical thinking skills.,entailment,entailment
